sample,texture,pH,resistance,ambic_p,K,ec_Na,ec_K,ec_Ca,ec_Mg,bs_Na,bs_K,bs_Ca,bs_Mg,carbon,s_value,r_eksteen,r_observed,ta_eksteen,ta_true
1079,Loam/Clay,4.88,1456.5631231778198,15.736045,150.531503,0.27803923043478257,0.3859782128205128,3.231396235,0.6674878083333333,5.359377604866796,7.439968045235911,62.28715489979063,12.866239076799596,0.4885057471264367,4.562901486588629,3.987320666112055,6.238214469333333,0.9778205391077928,0.625
1080,Loam/Clay,5.37,1389.1216404924294,10.676503,71.521175,0.3243247869565217,0.18338762820512824,3.7343708,1.0560243166666667,5.824686127245608,3.2935360381754695,67.06714585976755,18.965587690795115,0.21551724137931005,5.298107531828316,8.224626543462023,17.742204135802467,0.5824453051275235,0.27
1081,Loam,5.56,1129.081800323139,19.96225,130.439577,0.28268462173913045,0.33446045384615386,4.376724655,0.88654865,4.599924760732202,5.442435862508358,71.21931142763245,14.426172395370193,0.3735632183908044,5.880418380585285,10.262802220032086,19.86140869811321,0.5128495309718192,0.265
1082,Loam/Clay,5.43,1501.3742057057011,22.736587,102.777129,0.2020497304347826,0.2635311,3.905511635,0.499461725,3.900156682229888,5.086928739913113,75.38791201549476,9.6410867764339,0.2729885057471262,4.870554190434782,8.850604860341832,14.209591483870966,0.4977030869085561,0.31
1083,Loam,5.37,1575.897564654067,18.104065,93.651835,0.2171029086956522,0.24013291025641023,4.159776545000001,0.7500720166666667,3.814119647187189,4.218716628201282,73.08002248111144,13.177457790693078,0.2298850574712641,5.36708438061873,8.224626543462023,15.107226343589744,0.5969691797823499,0.325
1084,Loam/Clay,5.18,1171.5670722383427,6.339014,152.349544,0.2461762043478261,0.3906398564102565,4.154339215,1.3927008833333336,3.7249442024725554,5.910854268977788,62.860185106088586,21.07325155530094,0.4166666666666665,6.183856159091416,6.379353852192139,13.05185905490196,0.8695300851554428,0.425
1085,Loam/Clay,4.79,1051.969111725232,4.268613,56.664409,0.45010126086956526,0.1452933564102564,1.84581768,0.9850072583333334,11.537450134585486,3.7243060622211153,47.31386310581263,25.248700932919416,0.17241379310344795,3.426219555613155,3.4106676469019703,5.959631449122807,0.8299914361062626,0.475
1086,Loam/Clay,4.13,1920.4017690446929,17.783153,57.667273,0.24113739565217393,0.14786480256410256,1.71366191,0.6441506333333333,6.704192820013996,4.1109930087863855,47.643874737393496,17.908918852345867,0.47413793103448265,2.74681474154961,1.1856810826620858,2.7738971098039213,1.98857228795418,0.85
1087,Loam,5.06,712.5684258287417,4.747859,112.928847,0.6536221478260869,0.28956114615384615,1.32893949,1.623520875,15.198240069513666,6.7329722970474375,30.900944030206173,37.750648594426494,0.186781609195402,3.895643658979933,5.339370985631717,7.290025592592593,0.5529603342687913,0.405
1088,Loam/Clay,5.18,1533.3313272835435,5.173667,128.39459,0.26322665217391306,0.32921689743589744,2.9846169550000003,1.1696152583333337,5.169744980417999,6.465786761834183,58.617576883465986,22.971126065129884,0.24425287356321812,4.746675762943144,6.379353852192139,12.041252792270534,0.6511995273480266,0.345
1089,Loam,3.5,1196.5761854004222,44.901015,137.960233,0.3824765608695652,0.35374418717948714,1.483313775,0.5670298333333333,9.66688587416978,8.94069084479462,37.48994434040349,14.331368891261686,0.25862068965517215,2.7865643563823856,1.207012500000019,1.7524304344729345,1.6986929367618822,1.17
1090,Loam/Clay,5.47,1501.3742057057011,7.706486999999999,108.19588,0.22447328260869565,0.27742533333333336,2.045042635,1.5868673583333333,5.120508275241532,6.328408880496071,46.64990690225508,36.198372232213856,0.2729885057471262,4.133808609275363,9.277631269301878,14.527639973333333,0.39146953440052235,0.25
1091,Loam/Clay,4.55,964.703258404702,15.498275,48.961243,0.5050715608695652,0.1255416487179487,1.702675275,0.9292620500000002,13.459420631761947,3.3455018809426496,45.37381333859001,24.763478637660665,0.3735632183908044,3.262550534587514,2.205628413750105,5.371300663265306,1.1932822902499092,0.49
1092,Clay,5.47,1370.441057141085,6.634627,99.935718,0.3186896,0.25624543076923073,2.56501331,1.5906891416666666,6.328684324707183,5.088639356248431,50.93721140464667,31.58863494870167,0.3304597701149423,4.730637482435897,9.277631269301878,13.62525393989071,0.4479270980963845,0.305
1093,Loam/Clay,5.05,1558.5027626953522,13.878249,104.485656,0.2761881608695652,0.2679119384615385,2.5036636050000003,0.8789156833333334,6.339418999974343,6.149452705198094,57.467244711394386,20.17398126247039,0.3591954022988504,3.9266793876644375,5.257539963750219,7.866463461240311,0.6433768096211541,0.43
1094,Loam/Clay,5.66,1631.2981415805414,6.409487,41.598806999999994,0.5326023434782609,0.10666360769230768,2.32107469,1.498798,11.33404192019302,2.269854452852182,49.393620134217066,31.89516450671575,0.186781609195402,4.4591386411705685,11.388276878112151,15.916136208333336,0.33542148042972636,0.24
1095,Loam/Clay,5.94,510.7877654949182,4.466435,90.503542,1.0457049739130435,0.2320603641025641,4.041339820000001,2.3631089916666665,13.283492471495435,2.947841098961086,51.33676171859617,30.01835248298018,0.2873563218390802,7.682214149682275,14.596550204831717,33.707625324561405,0.4387645520204276,0.19
1096,Clay,5.45,1175.639979046112,5.188350000000001,77.772757,0.4497491391304348,0.19941732564102563,2.544444155,2.1410344833333337,7.918613416260431,3.5110877884256113,44.799351170886936,37.69662442751804,0.3160919540229883,5.334645103104794,9.06320316374979,13.58109750241546,0.5169782199161002,0.345
1097,Clay,4.35,1218.519636374256,6.287129,114.605871,0.30985117826086955,0.29386120769230767,1.593611865,1.7145832916666668,6.799593262818994,6.448698046731968,34.97134515228292,37.62602764331977,0.2729885057471262,3.911907542619845,1.5605624137500629,5.128984739018088,2.11987366062278,0.645
1098,Loam/Clay,4.14,340.9983965213756,9.00104,87.688858,0.9606404173913043,0.22484322564102563,2.7027849049999997,2.2257557666666665,14.129092248051968,3.3069925217789105,39.75254065729365,32.736399572137785,0.34482758620689635,6.114024314698996,1.196063357471985,7.194949885644768,4.120635115922031,0.685
1099,Clay,5.98,1136.505256678811,6.8940269999999995,88.414365,0.5228000956521739,0.2267035,2.61193495,2.1321836500000004,9.238999840877687,4.006337446846842,46.15849688651931,37.68026166578628,0.3591954022988504,5.493622195652174,15.047564957471764,28.75223393939394,0.31527483771680553,0.165
1100,Clay,5.66,1107.5531021237543,4.158092,78.322527,0.6423307434782609,0.2008269923076923,3.26185053,3.3470086916666664,8.356046916945026,2.612547798700887,42.433242284415826,43.54106033838935,0.3304597701149423,7.452016957452619,11.388276878112151,28.12280519858156,0.5803212630322195,0.235
1101,Loam/Clay,5.95,658.0811833019884,3.350526,87.903212,0.8888252565217393,0.22539285128205128,2.76567086,3.2785532500000003,12.062593832576177,3.058894195267653,37.53399671531014,44.49452344320877,0.3160919540229883,7.158442217803791,14.70972561374981,28.782019571428577,0.4108998541991976,0.21
1102,Loam/Clay,3.75,1631.2981415805414,12.720737,135.623718,0.19172359130434785,0.3477531230769231,1.996584535,0.8295016999999999,4.437467838115951,8.048791954916972,46.21121271444321,19.19892638339616,0.2873563218390802,3.3655629493812707,1.1184960937499682,2.959252602094241,2.5266840454712858,0.955
1103,Loam,5.29,163.5748369805619,5.910264999999999,145.353404,2.673226108695652,0.3727010358974359,3.9468937250000007,3.539007983333333,24.667973860026063,3.4392075482191475,36.42111339549452,32.657228709279146,0.2873563218390802,10.531828852926422,7.420486694501619,24.543940027322407,1.0088154613740072,0.305
1104,Loam,4.28,232.38594212860392,6.612603,60.967887,1.6587160826086955,0.15632791538461538,2.036743885,2.111516941666667,25.545021023952224,2.4075246674223627,31.36682998871309,32.518370824786224,0.15804597701149392,5.9633048246599785,1.4061247211520822,7.826907220125785,2.950137185034245,0.53
1105,Loam,5.18,273.35398347234974,4.224165,74.456308,1.6925843,0.1909136102564103,3.921745445,4.337130616666667,16.154661507126992,1.8221513402882656,37.430614345821425,41.39520674063144,0.25862068965517215,10.142373971923078,6.379353852192139,24.65336137810945,1.2946257964399746,0.335
1106,Loam/Clay,5.53,361.61815900650976,6.436406,59.403701,0.8918978478260869,0.15231718205128206,2.310471645,1.34169665,18.04955797166821,3.0824805937325683,46.7575877663233,27.15224789878646,0.2873563218390802,4.696383324877369,9.931008556901702,14.90680936734694,0.36775401753751097,0.245
1107,Loam/Clay,5.65,1701.7620434557748,11.651324,59.383948,0.2144235304347826,0.15226653333333334,1.813507875,1.2043240583333334,5.8354128946275186,4.143846014622985,49.353572421951434,32.774985679316465,0.2873563218390802,3.3845219971014493,11.274614163749789,10.406317011494254,0.267666093890493,0.29
1108,Loam/Clay,5.95,1442.3902774476414,7.136297,56.533883,0.2264548043478261,0.14495867435897436,2.42218531,2.0054013083333335,4.5345374438827575,2.9026566187871943,48.50190754773096,40.15621284272509,0.34482758620689635,4.799000097040134,14.70972561374981,22.705572401709404,0.3009972269091599,0.195
1109,Loam/Clay,5.86,827.5048855435473,11.188809,157.032816,0.436136152173913,0.40264824615384615,5.73984601,3.253021066666667,4.313203963293775,3.982022591953191,56.76467414046392,32.171016521991625,0.7614942528735631,9.831651474994429,13.683620429471487,32.117382416666665,0.6571993956583319,0.28
1110,Loam,5.79,228.40396425084913,6.154982,53.556053,1.640436973913043,0.13732321282051282,3.422729115,1.8030202833333333,22.788564139944807,1.907661734664993,47.547746857215515,25.047133188148408,0.30172413793103425,7.00350958506689,12.878676402102316,26.79871486324786,0.4057675831873749,0.195
1111,Loam/Clay,5.96,635.8889470791892,6.793693000000001,106.299967,0.685999343478261,0.27256401794871793,2.24389335,1.7874388249999995,13.179886871450666,5.236685655670735,43.111208174993905,34.341492782908546,0.2298850574712641,4.989895536426978,14.822632138751828,18.750382209302323,0.27197141083064524,0.215
1112,Loam/Clay,4.79,1218.519636374256,9.566336,65.962681,0.36417322608695657,0.16913507948717948,2.483120145,1.299205675,7.523254529049184,3.494068650915003,51.29741435902229,26.839575999681745,0.21551724137931005,4.315634125574136,3.4106676469019703,7.204430133333333,1.1089693313963382,0.525
1113,Loam/Clay,5.96,854.6885889014382,8.543419,77.814102,0.7014454043478261,0.19952333846153847,2.2504550599999997,1.8615330333333333,13.481668721046988,3.834806721353825,43.25338708111239,35.7783678004412,0.24425287356321812,5.012956836142697,14.822632138751828,21.642042596491223,0.27741281405635637,0.19
1114,Sand,5.81,1275.7969288424786,12.724628,32.814628,0.21184237391304347,0.08414007179487179,1.08249653,0.2435119166666667,11.723488746235994,4.656363911403151,59.906031323571426,13.476100941862835,0.08426966292134841,1.6219908923745818,13.108880690981891,7.167613225225225,0.1011534453569998,0.185
1115,Sand,4.89,1612.2688581521418,13.027715,28.940644,0.21183520869565217,0.07420677948717948,0.64311562,0.15664784166666665,15.453338671721047,5.413370620559372,46.91516364124523,11.427430616347866,0.04213483146067398,1.0858054498494982,4.055555915621994,2.806187584795322,0.197201931943776,0.285
1116,Sand,4.47,1251.0883186329834,19.830067,33.075581,0.2650638782608695,0.08480918205128204,0.792696785,0.23066299166666665,15.471561864778025,4.950242618559534,46.26906325224728,13.463610239541447,0.07022471910112316,1.3732328369788185,1.9099059829020464,3.0098816960784314,0.5358168338274439,0.34
1118,Sand,4.3,3743.7410347186415,19.434944,99.25413,0.1357005739130435,0.2544977692307692,0.6475430400000001,0.26885973333333335,6.63053356223256,12.43514269496936,31.63992410571086,13.136889800789652,0.16016713091921986,1.306601116477146,1.4467024199998375,1.2383821261261263,0.6334424831704064,0.74
1119,Sand,4.25,3296.133695027372,3.682240999999999,13.168442,0.13796997826086957,0.0337652358974359,0.551757425,0.06464028333333334,9.494656416172653,2.3236164685842895,37.97019642593465,4.448339331717623,0.06267409470752083,0.7881329224916389,1.3504148437499452,0.9269138471177946,0.45645063158641574,0.665
1120,Sand,4.29,3743.7410347186415,7.460684,13.724211,0.1584486043478261,0.03519028461538461,0.6865632050000001,0.09330490833333333,9.91228716046824,2.2014470105434265,42.950278229224395,5.837003416268053,0.14623955431754876,0.9735070022965442,1.4260652593021632,1.2477889813333334,0.5468670583244959,0.625
1121,Sand,4.26,4046.2664021100704,3.280035,9.152855,0.1906046304347826,0.02346885897435897,0.6156500450000001,0.05499243333333333,12.500992608937889,1.5392282543684144,40.37801518610341,3.606732958582196,0.06267409470752083,0.884715967742475,1.368306463392173,1.0478788723958334,0.4901259303202745,0.64
1122,Sand,4.27,3887.3022436290894,18.708675,13.75117,0.17999802608695653,0.03525941025641026,0.8175743400000001,0.049988825,9.74109856530974,1.9081619844900877,44.24533092691049,2.705285619375501,0.11838440111420569,1.0828206013433668,1.3868740808218265,1.1340694967320262,0.6255529445657418,0.765
1123,Sand,4.18,3859.2869814926744,3.116854,11.573939,0.17726075217391304,0.02967676666666667,0.552731635,0.03338383333333333,11.600432292714622,1.942129423244212,36.17228195877292,2.184730085510693,0.04874651810584929,0.793052987173913,1.2434797945920764,0.7974360113378685,0.4713510190373528,0.735
1124,Sand,3.82,4757.250354598491,21.719477,9.068985,0.1325207,0.02325380769230769,0.3981211549999999,0.01872315,8.618566507258173,1.512325909409968,25.89205801292884,1.2176717561888133,0.1740947075208914,0.5726188126923076,1.096373685791832,0.4319630103626943,0.38020276334792114,0.965
1125,Sand,4.04,4088.7344953178167,4.35565,8.099387,0.1400628347826087,0.02076765897435897,0.424985195,0.02263942499999999,9.839638315881748,1.458961281859199,29.85589014312674,1.5904558409465464,0.07660167130919238,0.6084551137569677,1.1168089067519986,0.5492326625766871,0.4008068142130251,0.815
1126,Sand,3.86,5311.974200406204,23.30532,10.979576,0.13314184347826086,0.02815275897435897,0.4692643050000001,0.02965185833333333,8.533580616025995,1.8044202483231215,30.07698160341876,1.9005033796441129,0.14623955431754876,0.6602107657859532,1.0882212678719725,0.5543512925925927,0.4584694106456575,0.9
